,59_SVM,59_LR,MEAN,MEDIAN
218695_at,-0.40348545886871623,-0.6959520913403836,-0.5497187751045499,-0.5497187751045499
201698_s_at,-0.4634281926192022,-0.6300691857202492,-0.5467486891697257,-0.5467486891697257
216388_s_at,-0.4502007772935023,-0.6426468760343422,-0.5464238266639223,-0.5464238266639223
219540_at,-0.42090118718883185,-0.67087748882241,-0.5458893380056209,-0.5458893380056209
203367_at,-0.47623427116181993,-0.6135546987437283,-0.5448944849527741,-0.5448944849527741
202721_s_at,-0.49230513470983084,-0.5822835113378674,-0.5372943230238492,-0.5372943230238492
203081_at,-0.40982199815814774,-0.6601788908650472,-0.5350004445115975,-0.5350004445115975
200078_s_at,-0.40303239240165656,-0.6653118790438213,-0.5341721357227389,-0.5341721357227389
214765_s_at,-0.440306538292917,-0.6266772851606524,-0.5334919117267847,-0.5334919117267847
217696_at,-0.4226621207873683,-0.6430933176670643,-0.5328777192272163,-0.5328777192272163
208773_s_at,-0.4332396328866113,-0.6317045600001164,-0.5324720964433639,-0.5324720964433639
200682_s_at,-0.37129899868539945,-0.6899773722031519,-0.5306381854442757,-0.5306381854442757
220638_s_at,-0.441446870714803,-0.6174389221752412,-0.5294428964450221,-0.5294428964450221
220549_at,-0.4520745894299825,-0.6052023605167425,-0.5286384749733625,-0.5286384749733625
221096_s_at,-0.4412057415523937,-0.6140838037192572,-0.5276447726358254,-0.5276447726358254
219819_s_at,-0.4579907437529169,-0.5970015400139312,-0.5274961418834241,-0.5274961418834241
215749_s_at,-0.3689384940635273,-0.6842252174169065,-0.5265818557402169,-0.5265818557402169
208141_s_at,-0.4613822276600763,-0.5908378631299536,-0.5261100453950149,-0.5261100453950149
202483_s_at,-0.45698194044282436,-0.5905213030478456,-0.523751621745335,-0.523751621745335
211754_s_at,-0.45966875362492954,-0.587560772149086,-0.5236147628870078,-0.5236147628870078
213428_s_at,-0.3956609777348868,-0.6472303577666402,-0.5214456677507635,-0.5214456677507635
201738_at,-0.44776537971845964,-0.5913013481660552,-0.5195333639422575,-0.5195333639422575
205428_s_at,-0.4693203395145787,-0.5693026090765768,-0.5193114742955778,-0.5193114742955778
219446_at,-0.4017386167871189,-0.6343103828741077,-0.5180244998306133,-0.5180244998306133
201448_at,-0.32845989727871167,-0.7065610741985038,-0.5175104857386077,-0.5175104857386077
212074_at,-0.3840360034716437,-0.6432731667578202,-0.5136545851147319,-0.5136545851147319
212731_at,-0.43351553674126947,-0.5905918047650403,-0.5120536707531549,-0.5120536707531549
217197_x_at,-0.393916835733698,-0.6295383725573206,-0.5117276041455093,-0.5117276041455093
266_s_at,-0.37855516350794954,-0.6440547339923738,-0.5113049487501616,-0.5113049487501616
221190_s_at,-0.3973472155775995,-0.6214750521746336,-0.5094111338761166,-0.5094111338761166
217777_s_at,-0.4416696076927182,-0.5726286069762231,-0.5071491073344706,-0.5071491073344706
215481_s_at,-0.4210091766435785,-0.5871999448415641,-0.5041045607425714,-0.5041045607425714
212376_s_at,-0.47793027897140594,-0.5294424321216706,-0.5036863555465383,-0.5036863555465383
205849_s_at,-0.4531652395940273,-0.5530079282494057,-0.5030865839217165,-0.5030865839217165
209442_x_at,-0.4570275916966073,-0.5467413088741327,-0.50188445028537,-0.50188445028537
209026_x_at,-0.402335053289103,-0.6003088942876252,-0.5013219737883641,-0.5013219737883641
213247_at,-0.45589220991500057,-0.5448588386685652,-0.5003755242917829,-0.5003755242917829
222035_s_at,-0.4090977443408963,-0.5891646167514292,-0.49913118054616273,-0.49913118054616273
212165_at,-0.4064856771725159,-0.5917560127611483,-0.49912084496683207,-0.49912084496683207
200781_s_at,-0.4738293407553067,-0.5215109656174508,-0.49767015318637875,-0.49767015318637875
204254_s_at,-0.46203780234803404,-0.531793333191708,-0.496915567769871,-0.496915567769871
200875_s_at,-0.4493263767222521,-0.543013287741573,-0.4961698322319126,-0.4961698322319126
214744_s_at,-0.40169914320469313,-0.5903588709844756,-0.49602900709458436,-0.49602900709458436
214544_s_at,-0.42056068888003,-0.5702135955501422,-0.49538714221508606,-0.49538714221508606
215071_s_at,-0.354313078584039,-0.6354085634712305,-0.49486082102763473,-0.49486082102763473
202930_s_at,-0.4558178765069225,-0.5316991109799311,-0.4937584937434268,-0.4937584937434268
201659_s_at,-0.3905412987719787,-0.5946842926107814,-0.49261279569138006,-0.49261279569138006
221898_at,-0.3304749760459164,-0.6528832188580966,-0.49167909745200655,-0.49167909745200655
209714_s_at,-0.3944746296970695,-0.5867435207845727,-0.4906090752408211,-0.4906090752408211
219756_s_at,-0.43046994053180826,-0.546193700869903,-0.4883318207008557,-0.4883318207008557
220066_at,-0.36801054918268544,-0.6070232882404325,-0.487516918711559,-0.487516918711559
209603_at,-0.38306972070018797,-0.5910114012867311,-0.48704056099345955,-0.48704056099345955
218331_s_at,-0.38879573632103004,-0.5823645186184682,-0.4855801274697491,-0.4855801274697491
205185_at,-0.36148789687271515,-0.5978900574643292,-0.4796889771685222,-0.4796889771685222
