,ID,pred,method,target,run
171,GSM207944,0.004650696607253949,GBM,Genotype: primary tumor,0
172,GSM207944,0.005527229441744351,NaiveBayes,Genotype: primary tumor,0
173,GSM207944,0.44565465462578,AdaBoost,Genotype: primary tumor,0
174,GSM207944,0.24245051170548496,MLNN,Genotype: primary tumor,0
175,GSM207944,0.2244942991629571,RVM,Genotype: primary tumor,0
176,GSM207945,0.007117136964650812,SVM,Genotype: primary tumor,0
177,GSM207945,0.00013523475858230762,NaiveBayes,Genotype: primary tumor,0
178,GSM207945,0.0038099891708383107,LR,Genotype: primary tumor,0
179,GSM207945,0.053419459611177444,XGB,Genotype: primary tumor,0
180,GSM207945,0.44565465462578,AdaBoost,Genotype: primary tumor,0
181,GSM207945,0.17560577392578125,DNN,Genotype: primary tumor,0
182,GSM207945,0.24226676435957112,MLNN,Genotype: primary tumor,0
183,GSM207945,0.07638611683437802,RVM,Genotype: primary tumor,0
184,GSM207945,0.019904761904761904,RandomForest,Genotype: primary tumor,0
185,GSM207945,0.2794376188749863,ExtraTrees,Genotype: primary tumor,0
186,GSM207945,0.004650696607253949,GBM,Genotype: primary tumor,0
187,GSM207946,0.5405508075279416,SVM,Genotype: primary tumor,0
188,GSM207946,0.21817176043987274,XGB,Genotype: primary tumor,0
189,GSM207946,0.46309302994067997,AdaBoost,Genotype: primary tumor,0
190,GSM207946,0.2632075321164931,MLNN,Genotype: primary tumor,0
191,GSM207946,0.2800213120213121,RandomForest,Genotype: primary tumor,0
192,GSM207946,0.4563435339407554,RVM,Genotype: primary tumor,0
193,GSM207946,0.5435396224014427,LR,Genotype: primary tumor,0
194,GSM207946,0.4930012831501502,ExtraTrees,Genotype: primary tumor,0
195,GSM207946,0.602160360311943,NaiveBayes,Genotype: primary tumor,0
196,GSM207946,0.2840900123119354,DNN,Genotype: primary tumor,0
197,GSM207946,0.22953702096202436,GBM,Genotype: primary tumor,0
198,GSM207947,0.24281254805753286,MLNN,Genotype: primary tumor,0
199,GSM207947,0.30008452105879585,RVM,Genotype: primary tumor,0
200,GSM207947,0.4605196308703467,AdaBoost,Genotype: primary tumor,0
201,GSM207947,0.10098093083105034,LR,Genotype: primary tumor,0
202,GSM207947,0.18156450986862183,DNN,Genotype: primary tumor,0
203,GSM207947,0.034345444900067315,NaiveBayes,Genotype: primary tumor,0
204,GSM207947,0.0452634665709195,GBM,Genotype: primary tumor,0
205,GSM207947,0.16773015873015865,RandomForest,Genotype: primary tumor,0
206,GSM207947,0.12586807018695076,SVM,Genotype: primary tumor,0
207,GSM207947,0.10251328349113464,XGB,Genotype: primary tumor,0
208,GSM207947,0.33693678243939146,ExtraTrees,Genotype: primary tumor,0
209,GSM207948,0.2491547605385994,MLNN,Genotype: primary tumor,0
210,GSM207948,0.4409058577018734,SVM,Genotype: primary tumor,0
211,GSM207948,0.4727588589077259,ExtraTrees,Genotype: primary tumor,0
212,GSM207948,0.42656460825118986,RVM,Genotype: primary tumor,0
